Song,Concert,Year
Sugaree,"Academy of Music, New York, NY (3/25/72)",1972
Looks Like Rain,"Academy of Music, New York, NY (3/25/72)",1972
Bertha,"Academy of Music, New York, NY (3/25/72)",1972
Mr. Charlie,"Academy of Music, New York, NY (3/25/72)",1972
Playing in the Band,"Academy of Music, New York, NY (3/25/72)",1972
Good Lovin',"Academy of Music, New York, NY (3/25/72)",1972
Turn On Your Lovelight,"Academy of Music, New York, NY (3/25/72)",1972
Greatest Story Ever Told,"Academy of Music, New York, NY (3/26/72)",1972
Cold Rain and Snow,"Academy of Music, New York, NY (3/26/72)",1972
Chinatown Shuffle,"Academy of Music, New York, NY (3/26/72)",1972
Black Throated Wind,"Academy of Music, New York, NY (3/26/72)",1972
You Win Again,"Academy of Music, New York, NY (3/26/72)",1972
Mr. Charlie,"Academy of Music, New York, NY (3/26/72)",1972
Jack Straw,"Academy of Music, New York, NY (3/26/72)",1972
Loser,"Academy of Music, New York, NY (3/26/72)",1972
Looks Like Rain,"Academy of Music, New York, NY (3/26/72)",1972
Big Railroad Blues,"Academy of Music, New York, NY (3/26/72)",1972
Big Boss Man,"Academy of Music, New York, NY (3/26/72)",1972
Playing in the Band,"Academy of Music, New York, NY (3/26/72)",1972
Truckin',"Academy of Music, New York, NY (3/26/72)",1972
drums,"Academy of Music, New York, NY (3/26/72)",1972
The Other One,"Academy of Music, New York, NY (3/26/72)",1972
Me and My Uncle,"Academy of Music, New York, NY (3/26/72)",1972
The Other One,"Academy of Music, New York, NY (3/26/72)",1972
Wharf Rat,"Academy of Music, New York, NY (3/26/72)",1972
Not Fade Away,"Academy of Music, New York, NY (3/26/72)",1972
Goin' Down the Road Feeling Bad,"Academy of Music, New York, NY (3/26/72)",1972
Not Fade Away,"Academy of Music, New York, NY (3/26/72)",1972
Bertha,"Academy of Music, New York, NY (3/27/72)",1972
Black Throated Wind,"Academy of Music, New York, NY (3/27/72)",1972
Chinatown Shuffle,"Academy of Music, New York, NY (3/27/72)",1972
Brown Eyed Women,"Academy of Music, New York, NY (3/27/72)",1972
China Cat Sunflower,"Academy of Music, New York, NY (3/27/72)",1972
I Know You Rider,"Academy of Music, New York, NY (3/27/72)",1972
Me and Bobby McGee,"Academy of Music, New York, NY (3/27/72)",1972
Mr. Charlie,"Academy of Music, New York, NY (3/27/72)",1972
Looks Like Rain,"Academy of Music, New York, NY (3/27/72)",1972
Deal,"Academy of Music, New York, NY (3/27/72)",1972
Hurts Me Too,"Academy of Music, New York, NY (3/27/72)",1972
Cumberland Blues,"Academy of Music, New York, NY (3/27/72)",1972
Playing in the Band,"Academy of Music, New York, NY (3/27/72)",1972
Greatest Story Ever Told,"Academy of Music, New York, NY (3/27/72)",1972
Ramble On Rose,"Academy of Music, New York, NY (3/27/72)",1972
Big Boss Man,"Academy of Music, New York, NY (3/27/72)",1972
El Paso,"Academy of Music, New York, NY (3/27/72)",1972
Good Lovin',"Academy of Music, New York, NY (3/27/72)",1972
Me and My Uncle,"Academy of Music, New York, NY (3/27/72)",1972
Two Souls In Communion,"Academy of Music, New York, NY (3/27/72)",1972
Sugar Magnolia,"Academy of Music, New York, NY (3/27/72)",1972
Loser,"Academy of Music, New York, NY (3/27/72)",1972
Casey Jones,"Academy of Music, New York, NY (3/27/72)",1972
One More Saturday Night,"Academy of Music, New York, NY (3/27/72)",1972
Playing in the Band,"Academy of Music, New York, NY (3/28/72)",1972
Sugaree,"Academy of Music, New York, NY (3/28/72)",1972
Two Souls In Communion,"Academy of Music, New York, NY (3/28/72)",1972
Sugar Magnolia,"Academy of Music, New York, NY (3/28/72)",1972
The Other One,"Academy of Music, New York, NY (3/28/72)",1972
Hurts Me Too,"Academy of Music, New York, NY (3/28/72)",1972
Not Fade Away,"Academy of Music, New York, NY (3/28/72)",1972
Goin' Down the Road Feeling Bad,"Academy of Music, New York, NY (3/28/72)",1972
Not Fade Away,"Academy of Music, New York, NY (3/28/72)",1972
Sidewalks of New York,"Academy of Music, New York, NY (3/28/72)",1972
One More Saturday Night,"Academy of Music, New York, NY (3/28/72)",1972
Greatest Story Ever Told,"Empire Pool, Wembley, XENG (4/7/72)",1972
Sugaree,"Empire Pool, Wembley, XENG (4/7/72)",1972
Chinatown Shuffle,"Empire Pool, Wembley, XENG (4/7/72)",1972
China Cat Sunflower,"Empire Pool, Wembley, XENG (4/7/72)",1972
I Know You Rider,"Empire Pool, Wembley, XENG (4/7/72)",1972
Big Boss Man,"Empire Pool, Wembley, XENG (4/7/72)",1972
Black Throated Wind,"Empire Pool, Wembley, XENG (4/7/72)",1972
Loser,"Empire Pool, Wembley, XENG (4/7/72)",1972
Mr. Charlie,"Empire Pool, Wembley, XENG (4/7/72)",1972
Beat it on Down the Line,"Empire Pool, Wembley, XENG (4/7/72)",1972
Tennessee Jed,"Empire Pool, Wembley, XENG (4/7/72)",1972
Playing in the Band,"Empire Pool, Wembley, XENG (4/7/72)",1972
Casey Jones,"Empire Pool, Wembley, XENG (4/7/72)",1972
Truckin',"Empire Pool, Wembley, XENG (4/7/72)",1972
drums,"Empire Pool, Wembley, XENG (4/7/72)",1972
The Other One,"Empire Pool, Wembley, XENG (4/7/72)",1972
El Paso,"Empire Pool, Wembley, XENG (4/7/72)",1972
The Other One,"Empire Pool, Wembley, XENG (4/7/72)",1972
Whar' Rat,"Empire Pool, Wembley, XENG (4/7/72)",1972
Ramble On Rose,"Empire Pool, Wembley, XENG (4/7/72)",1972
Sugar Magnolia,"Empire Pool, Wembley, XENG (4/7/72)",1972
Not Fade Away,"Empire Pool, Wembley, XENG (4/7/72)",1972
Goin' Down the Road Feeling Bad,"Empire Pool, Wembley, XENG (4/7/72)",1972
Not Fade Away,"Empire Pool, Wembley, XENG (4/7/72)",1972
One More Saturday Night,"Empire Pool, Wembley, XENG (4/7/72)",1972
Bertha,"Empire Pool, Wembley, XENG (4/8/72)",1972
Me and My Uncle,"Empire Pool, Wembley, XENG (4/8/72)",1972
Mr. Charlie,"Empire Pool, Wembley, XENG (4/8/72)",1972
Deal,"Empire Pool, Wembley, XENG (4/8/72)",1972
Black Throated Wind,"Empire Pool, Wembley, XENG (4/8/72)",1972
Next Time You See Me,"Empire Pool, Wembley, XENG (4/8/72)",1972
Cumberland Blues,"Empire Pool, Wembley, XENG (4/8/72)",1972
Brown Eyed Women,"Empire Pool, Wembley, XENG (4/8/72)",1972
Beat it on Down the Line,"Empire Pool, Wembley, XENG (4/8/72)",1972
Tennessee Jed,"Empire Pool, Wembley, XENG (4/8/72)",1972
Playing in the Band,"Empire Pool, Wembley, XENG (4/8/72)",1972
Good Lovin',"Empire Pool, Wembley, XENG (4/8/72)",1972
Looks Like Rain,"Empire Pool, Wembley, XENG (4/8/72)",1972
Casey Jones,"Empire Pool, Wembley, XENG (4/8/72)",1972
Truckin',"Empire Pool, Wembley, XENG (4/8/72)",1972
Hurts Me Too,"Empire Pool, Wembley, XENG (4/8/72)",1972
Dark Star,"Empire Pool, Wembley, XENG (4/8/72)",1972
Sugar Magnolia,"Empire Pool, Wembley, XENG (4/8/72)",1972
Caution,"Empire Pool, Wembley, XENG (4/8/72)",1972
One More Saturday Night,"Empire Pool, Wembley, XENG (4/8/72)",1972
Greatest Story Ever Told,"City Hall, Newcastle, XENG (4/11/72)",1972
Deal,"City Hall, Newcastle, XENG (4/11/72)",1972
Mr Charlie,"City Hall, Newcastle, XENG (4/11/72)",1972
Black Throated Wind,"City Hall, Newcastle, XENG (4/11/72)",1972
Tennessee Jed,"City Hall, Newcastle, XENG (4/11/72)",1972
Big Boss Man,"City Hall, Newcastle, XENG (4/11/72)",1972
Beat it on Down the Line,"City Hall, Newcastle, XENG (4/11/72)",1972
Sugaree,"City Hall, Newcastle, XENG (4/11/72)",1972
Jack Straw,"City Hall, Newcastle, XENG (4/11/72)",1972
Chinatown Shuffle,"City Hall, Newcastle, XENG (4/11/72)",1972
China Cat Sunflower,"City Hall, Newcastle, XENG (4/11/72)",1972
I Know You Rider,"City Hall, Newcastle, XENG (4/11/72)",1972
Playing in the Band,"City Hall, Newcastle, XENG (4/11/72)",1972
Next Time You See Me,"City Hall, Newcastle, XENG (4/11/72)",1972
Brown Eyed Women,"City Hall, Newcastle, XENG (4/11/72)",1972
Looks Like Rain,"City Hall, Newcastle, XENG (4/11/72)",1972
Big Railroad Blues,"City Hall, Newcastle, XENG (4/11/72)",1972
Casey Jones,"City Hall, Newcastle, XENG (4/11/72)",1972
Good Lovin',"City Hall, Newcastle, XENG (4/11/72)",1972
Ramble On Rose,"City Hall, Newcastle, XENG (4/11/72)",1972
Truckin',"City Hall, Newcastle, XENG (4/11/72)",1972
drums,"City Hall, Newcastle, XENG (4/11/72)",1972
The Other One,"City Hall, Newcastle, XENG (4/11/72)",1972
Comes A Time,"City Hall, Newcastle, XENG (4/11/72)",1972
Sugar Magnolia,"City Hall, Newcastle, XENG (4/11/72)",1972
Brokedown Palace,"City Hall, Newcastle, XENG (4/11/72)",1972
Bertha,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Me and My Uncle,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Mr. Charlie,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
You Win Again,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Black Throated Wind,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Chinatown Shuffle,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Loser,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Me and Bobby McGee,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Cumberland Blues,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Playing in the Band,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Tennessee Jed,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
El Paso,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Big Boss Man,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Beat it on Down the Line,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Casey Jones,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Truckin',"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Hurts Me Too,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Brown Eyed Women,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Looks Like Rain,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Dark Star,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Sugar Magnolia,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Good Lovin',"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Caution,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Who Do You Love,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Caution,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Good Lovin',"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Not Fade Away,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Goin' Down the Road Feeling Bad,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
Not Fade Away,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
One More Saturday Night,"Tivoii Theater, Copenhagen, XDEN (4/14/72)",1972
[set list unknown],"Tivoli Theater, Copenhagen, XDEN (4/15/72)",1972
Greatest Story Ever Told,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Sugaree,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Chinatown Shuffle,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Black Throated Wind,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Tennessee Jed,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Mr. Charlie,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Beat it on Down the Line,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
China Cat Sunflower,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
I Know You Rider,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Mexicali Blues,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Loser,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Next Time You See Me,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Playing in the Band,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Dire Wolf,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Good Lovin',"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Cumberland Blues,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
El Paso,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Deal,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Truckin',"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Caution,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Uncle John's Band,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
The Other One,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Not Fade Away,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Goin' Down the Road Feeling Bad,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Not Fade Away,"Aarhus University, Aarhus, XDEN (4/16/72)",1972
Cold Rain and Snow,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Me and Bobby McGee,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Chinatown Shuffle,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Sugaree,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Black Throated Wind,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Mr. Charlie,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
China Cat Sunflower,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
I Know You Rider,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Jack Straw,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
He's Gone,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Next Time You See Me,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Playing in the Band,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Casey Jones,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
One More Saturday Night,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Hurts Me Too,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Ramble On Rose,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
El Paso,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Big Railroad Blues,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Truckin',"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Dark Star,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Sugar Magnolia,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Caution,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Johnny B. Goode,"Tivoii Gardens, Copenhagen, XDEN (4/17/72)",1972
Bertha,"Beat Club, Bremen, XWGER (4/21/72)",1972
Playing in the Band,"Beat Club, Bremen, XWGER (4/21/72)",1972
Mr. Charlie,"Beat Club, Bremen, XWGER (4/21/72)",1972
Sugaree,"Beat Club, Bremen, XWGER (4/21/72)",1972
Truckin',"Beat Club, Bremen, XWGER (4/21/72)",1972
The Other One,"Beat Club, Bremen, XWGER (4/21/72)",1972
One More Saturday Night,"Beat Club, Bremen, XWGER (4/21/72)",1972
Truckin',"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Tennessee Jed,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Chinatown Shuffle,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Black Throated Wind,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
China Cat Sunflower,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
I Know You Rider,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Mr. Charlie,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Beat it on Down the Line,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Loser,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Playing in the Band,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Next Time You See Me,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Me and Bobby McGee,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Good Lovin',"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Casey Jones,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
He's Gone,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Hurts Me Too,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
El Paso,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Dark Star,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Me and My Uncle,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Wharf Rat,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Sugar Magnolia,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Not Fade Away,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Goin' Down the Road Feeling Bad,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Not Fade Away,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
One More Saturday Night,"Rheinhalle, Dusseldorf, XWGER (4/24/72)",1972
Bertha,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Me and My Uncle,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Mr. Charlie,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
He's Gone,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Black Throated Wind,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Next Time You See Me,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
China Cat Sunflower,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
I Know You Rider,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Jack Straw,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Big Railroad Blues,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Playing in the Band,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Chinatown Shuffle,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Loser,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Beat it on Down the Line,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
You Win Again,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Good Lovin',"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Dire Wolf,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Truckin',"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
drums,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
The Other One,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Comes A Time,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Sugar Magnolia,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
El Paso,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Tennessee Jed,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Greatest Story Ever Told,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Two Souls In Communion,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Casey Jones,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Turn On Your Lovelight,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Goin' Down the Road Feeling Bad,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
One More Saturday Night,"Jahrhundert Halle, Frankfurt, XWGER (4/26/72)",1972
Playing in the Band,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Sugaree,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Mr. Charlie,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Black Throated Wind,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
China Cat Sunflower,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
I Know You Rider,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Big Boss Man,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Jack Straw,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Loser,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Chinatown Shuffle,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Me and My Uncle,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Big Railroad Blues,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Good Lovin',"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Casey Jones,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Greatest Story Ever Told,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
He's Gone,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Next Time You See Me,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Dark Star,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Sugar Magnolia,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Caution,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Who Do You Love,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
One More Saturday Night,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Uncle John's Band,"Musikhalle, Hamburg, XWGER (4/29/72)",1972
Bertha,"Olympia Theater, Paris, XFRA (5/3/72)",1972
Me and My Uncle,"Olympia Theater, Paris, XFRA (5/3/72)",1972
Mr. Charlie,"Olympia Theater, Paris, XFRA (5/3/72)",1972
Sugaree,"Olympia Theater, Paris, XFRA (5/3/72)",1972
Black Throated Wind,"Olympia Theater, Paris, XFRA (5/3/72)",1972
